#from vertex, to vertex, sense, rise constraint, fall constaint
EmInst_1403/EmInst_3600/EmInst_34031/EmInst_45071/CLK,EmInst_1403/EmInst_3600/EmInst_34031/EmInst_45071/DATA,setup_rising,0.13045,0.095194
EmInst_1405/EmInst_3341/EmInst_35112/EmInst_47717/CLK,EmInst_1405/EmInst_3341/EmInst_35112/EmInst_47717/DATA,setup_rising,0.134903,0.101285
EmInst_1405/EmInst_3343/EmInst_3387/EmInst_5758/CLK,EmInst_1405/EmInst_3343/EmInst_3387/EmInst_5758/SMC,setup_rising,0.127639,0.145142
EmInst_1403/EmInst_3602/EmInst_3633/EmInst_3638/EmInst_4652/CLK,EmInst_1403/EmInst_3602/EmInst_3633/EmInst_3638/EmInst_4652/SIN,setup_rising,0.084193,0.077439
EmInst_1404/EmInst_3214/EmInst_39968/EmInst_39972/EmInst_40356/CLK,EmInst_1404/EmInst_3214/EmInst_39968/EmInst_39972/EmInst_40356/SIN,setup_rising,0.079284,0.083595
EmInst_1405/EmInst_3341/EmInst_35112/EmInst_47718/CLK,EmInst_1405/EmInst_3341/EmInst_35112/EmInst_47718/SMC,setup_rising,0.151895,0.206493
EmInst_1404/EmInst_3215/EmInst_33115/EmInst_37126/EmInst_37206/CLK,EmInst_1404/EmInst_3215/EmInst_33115/EmInst_37126/EmInst_37206/SMC,setup_rising,0.120831,0.137275
EmInst_1405/EmInst_3342/EmInst_19515/EmInst_21819/CLK,EmInst_1405/EmInst_3342/EmInst_19515/EmInst_21819/SIN,setup_rising,0.133196,0.097374
EmInst_1406/EmInst_1431/EmInst_1482/EmInst_1487/EmInst_1623/CLK,EmInst_1406/EmInst_1431/EmInst_1482/EmInst_1487/EmInst_1623/DATA,setup_rising,0.075794,0.081663
EmInst_1406/EmInst_1428/EmInst_19383/EmInst_25197/CLK,EmInst_1406/EmInst_1428/EmInst_19383/EmInst_25197/SIN,setup_rising,0.177862,0.124451
EmInst_1405/EmInst_3342/EmInst_19511/EmInst_32919/CLK,EmInst_1405/EmInst_3342/EmInst_19511/EmInst_32919/SIN,setup_rising,0.169546,0.118846
EmInst_1405/EmInst_3341/EmInst_35116/EmInst_37681/CLK,EmInst_1405/EmInst_3341/EmInst_35116/EmInst_37681/SIN,setup_rising,0.164351,0.114768
EmInst_1404/EmInst_3215/EmInst_33116/EmInst_33120/CLK,EmInst_1404/EmInst_3215/EmInst_33116/EmInst_33120/SMC,setup_rising,0.084417,0.103974
EmInst_1405/EmInst_3342/EmInst_19517/EmInst_19524/EmInst_20646/CLK,EmInst_1405/EmInst_3342/EmInst_19517/EmInst_19524/EmInst_20646/SIN,setup_rising,0.077076,0.082098
EmInst_1406/EmInst_1431/EmInst_1474/EmInst_5581/CLK,EmInst_1406/EmInst_1431/EmInst_1474/EmInst_5581/DATA,setup_rising,0.126016,0.100024
EmInst_1405/EmInst_3342/EmInst_19511/EmInst_32235/CLK,EmInst_1405/EmInst_3342/EmInst_19511/EmInst_32235/SIN,setup_rising,0.170331,0.119238
EmInst_1406/EmInst_1428/EmInst_19381/EmInst_25898/CLK,EmInst_1406/EmInst_1428/EmInst_19381/EmInst_25898/DATA,setup_rising,0.127426,0.10086
EmInst_1404/EmInst_3217/EmInst_3248/EmInst_3252/CLK,EmInst_1404/EmInst_3217/EmInst_3248/EmInst_3252/SMC,setup_rising,0.084417,0.103974
EmInst_1404/EmInst_3214/EmInst_39967/EmInst_41319/CLK,EmInst_1404/EmInst_3214/EmInst_39967/EmInst_41319/SIN,setup_rising,0.133224,0.096278
EmInst_1406/EmInst_1428/EmInst_19387/EmInst_20476/CLK,EmInst_1406/EmInst_1428/EmInst_19387/EmInst_20476/EN,setup_rising,0.24463,0.210617
EmInst_1406/EmInst_1431/EmInst_1480/EmInst_2030/CLK,EmInst_1406/EmInst_1431/EmInst_1480/EmInst_2030/SMC,setup_rising,0.141309,0.146205
EmInst_1406/EmInst_1431/EmInst_1476/EmInst_5131/CLK,EmInst_1406/EmInst_1431/EmInst_1476/EmInst_5131/EN,setup_rising,0.231296,0.198032
EmInst_1406/EmInst_1429/EmInst_12679/EmInst_18283/CLK,EmInst_1406/EmInst_1429/EmInst_12679/EmInst_18283/SIN,setup_rising,0.169708,0.118643
EmInst_1405/EmInst_3340/EmInst_26236/EmInst_32441/CLK,EmInst_1405/EmInst_3340/EmInst_26236/EmInst_32441/SIN,setup_rising,0.185158,0.128662
EmInst_1406/EmInst_1431/EmInst_1474/EmInst_5573/CLK,EmInst_1406/EmInst_1431/EmInst_1474/EmInst_5573/SIN,setup_rising,0.125181,0.099125
EmInst_1404/EmInst_3217/EmInst_3247/EmInst_5454/CLK,EmInst_1404/EmInst_3217/EmInst_3247/EmInst_5454/SMC,setup_rising,0.153373,0.207973
EmInst_1406/EmInst_1428/EmInst_19387/EmInst_20478/CLK,EmInst_1406/EmInst_1428/EmInst_19387/EmInst_20478/SIN,setup_rising,0.150985,0.152827
EmInst_1404/EmInst_3215/EmInst_33115/EmInst_36097/CLK,EmInst_1404/EmInst_3215/EmInst_33115/EmInst_36097/SIN,setup_rising,0.176075,0.12228
EmInst_1404/EmInst_3216/EmInst_18443/EmInst_21382/CLK,EmInst_1404/EmInst_3216/EmInst_18443/EmInst_21382/DATA,setup_rising,0.137594,0.103316
EmInst_1406/EmInst_1428/EmInst_19386/EmInst_22331/CLK,EmInst_1406/EmInst_1428/EmInst_19386/EmInst_22331/DATA,setup_rising,0.128869,0.108073
EmInst_1404/EmInst_3216/EmInst_18436/EmInst_29654/CLK,EmInst_1404/EmInst_3216/EmInst_18436/EmInst_29654/DATA,setup_rising,0.087651,0.116157
EmInst_1403/EmInst_3602/EmInst_3632/EmInst_6466/CLK,EmInst_1403/EmInst_3602/EmInst_3632/EmInst_6466/DATA,setup_rising,0.131796,0.110701
EmInst_1404/EmInst_3217/EmInst_3247/EmInst_5479/CLK,EmInst_1404/EmInst_3217/EmInst_3247/EmInst_5479/SIN,setup_rising,0.157025,0.112296
EmInst_1404/EmInst_3217/EmInst_3247/EmInst_5460/CLK,EmInst_1404/EmInst_3217/EmInst_3247/EmInst_5460/EN,setup_rising,0.217891,0.179084
EmInst_1406/EmInst_1429/EmInst_12685/EmInst_12691/EmInst_13087/CLK,EmInst_1406/EmInst_1429/EmInst_12685/EmInst_12691/EmInst_13087/DATA,setup_rising,0.077175,0.082542
EmInst_1405/EmInst_3342/EmInst_19511/EmInst_32173/CLK,EmInst_1405/EmInst_3342/EmInst_19511/EmInst_32173/EN,setup_rising,0.217932,0.179072
EmInst_1403/EmInst_3601/EmInst_19291/EmInst_32533/EmInst_32615/CLK,EmInst_1403/EmInst_3601/EmInst_19291/EmInst_32533/EmInst_32615/SIN,setup_rising,0.179294,0.125001
EmInst_1403/EmInst_3601/EmInst_19295/EmInst_22259/CLK,EmInst_1403/EmInst_3601/EmInst_19295/EmInst_22259/SMC,setup_rising,0.09332,0.105969
EmInst_1404/EmInst_3217/EmInst_3247/EmInst_5483/CLK,EmInst_1404/EmInst_3217/EmInst_3247/EmInst_5483/SIN,setup_rising,0.164275,0.115929
EmInst_1405/EmInst_3341/EmInst_35116/EmInst_37727/CLK,EmInst_1405/EmInst_3341/EmInst_35116/EmInst_37727/SMC,setup_rising,0.092331,0.104992
EmInst_1406/EmInst_1429/EmInst_12679/EmInst_18227/CLK,EmInst_1406/EmInst_1429/EmInst_12679/EmInst_18227/DATA,setup_rising,0.196159,0.144397
EmInst_1403/EmInst_3600/EmInst_34038/EmInst_38171/EmInst_38248/CLK,EmInst_1403/EmInst_3600/EmInst_34038/EmInst_38171/EmInst_38248/SMC,setup_rising,0.120726,0.137167
EmInst_1404/EmInst_3214/EmInst_39965/EmInst_42497/CLK,EmInst_1404/EmInst_3214/EmInst_39965/EmInst_42497/SIN,setup_rising,0.12518,0.099101
EmInst_1405/EmInst_3340/EmInst_26236/EmInst_32379/CLK,EmInst_1405/EmInst_3340/EmInst_26236/EmInst_32379/SIN,setup_rising,0.168502,0.117974
EmInst_1405/EmInst_3341/EmInst_35112/EmInst_47674/CLK,EmInst_1405/EmInst_3341/EmInst_35112/EmInst_47674/SMC,setup_rising,0.151895,0.206493
EmInst_1404/EmInst_3217/EmInst_3240/EmInst_15280/CLK,EmInst_1404/EmInst_3217/EmInst_3240/EmInst_15280/SIN,setup_rising,0.098088,0.087861
EmInst_1406/EmInst_1430/EmInst_6176/EmInst_11469/CLK,EmInst_1406/EmInst_1430/EmInst_6176/EmInst_11469/DATA,setup_rising,0.198356,0.146597
EmInst_1404/EmInst_3215/EmInst_33115/EmInst_35454/CLK,EmInst_1404/EmInst_3215/EmInst_33115/EmInst_35454/EN,setup_rising,0.217808,0.179118
EmInst_1404/EmInst_3216/EmInst_18441/EmInst_22133/CLK,EmInst_1404/EmInst_3216/EmInst_18441/EmInst_22133/SIN,setup_rising,0.125966,0.100743
EmInst_1404/EmInst_3216/EmInst_18441/EmInst_22138/CLK,EmInst_1404/EmInst_3216/EmInst_18441/EmInst_22138/DATA,setup_rising,0.128481,0.102453
EmInst_1405/EmInst_3340/EmInst_26236/EmInst_32456/CLK,EmInst_1405/EmInst_3340/EmInst_26236/EmInst_32456/DATA,setup_rising,0.136695,0.102105
EmInst_1403/EmInst_3600/EmInst_34037/EmInst_38851/CLK,EmInst_1403/EmInst_3600/EmInst_34037/EmInst_38851/DATA,setup_rising,0.127536,0.105635
EmInst_1403/EmInst_3602/EmInst_3632/EmInst_6525/CLK,EmInst_1403/EmInst_3602/EmInst_3632/EmInst_6525/SIN,setup_rising,0.166762,0.119277
EmInst_1404/EmInst_3214/EmInst_39967/EmInst_41302/CLK,EmInst_1404/EmInst_3214/EmInst_39967/EmInst_41302/SMC,setup_rising,0.128706,0.145806
EmInst_1405/EmInst_3343/EmInst_3387/EmInst_6022/CLK,EmInst_1405/EmInst_3343/EmInst_3387/EmInst_6022/DATA,setup_rising,0.138272,0.100007
EmInst_1403/EmInst_3599/EmInst_33392/EmInst_38913/CLK,EmInst_1403/EmInst_3599/EmInst_33392/EmInst_38913/DATA,setup_rising,0.200647,0.148908
EmInst_1405/EmInst_3341/EmInst_35116/EmInst_37707/CLK,EmInst_1405/EmInst_3341/EmInst_35116/EmInst_37707/DATA,setup_rising,0.142259,0.117851
EmInst_1406/EmInst_1428/EmInst_19387/EmInst_20747/CLK,EmInst_1406/EmInst_1428/EmInst_19387/EmInst_20747/DATA,setup_rising,0.096771,0.08881
EmInst_1404/EmInst_3216/EmInst_18443/EmInst_20571/CLK,EmInst_1404/EmInst_3216/EmInst_18443/EmInst_20571/DATA,setup_rising,0.195789,0.144025
EmInst_1406/EmInst_1429/EmInst_12683/EmInst_14025/CLK,EmInst_1406/EmInst_1429/EmInst_12683/EmInst_14025/DATA,setup_rising,0.162956,0.184019
EmInst_1404/EmInst_3214/EmInst_39967/EmInst_41328/CLK,EmInst_1404/EmInst_3214/EmInst_39967/EmInst_41328/EN,setup_rising,0.230831,0.198123
EmInst_1406/EmInst_1430/EmInst_6182/EmInst_6187/CLK,EmInst_1406/EmInst_1430/EmInst_6182/EmInst_6187/DATA,setup_rising,0.086994,0.073084
EmInst_1406/EmInst_1428/EmInst_19389/EmInst_19396/EmInst_19763/CLK,EmInst_1406/EmInst_1428/EmInst_19389/EmInst_19396/EmInst_19763/DATA,setup_rising,0.075751,0.08162
EmInst_1404/EmInst_3215/EmInst_33108/EmInst_43635/CLK,EmInst_1404/EmInst_3215/EmInst_33108/EmInst_43635/SIN,setup_rising,0.134713,0.09724
EmInst_1403/EmInst_3599/EmInst_33392/EmInst_38608/CLK,EmInst_1403/EmInst_3599/EmInst_33392/EmInst_38608/SIN,setup_rising,0.166399,0.118788
EmInst_1403/EmInst_3599/EmInst_33392/EmInst_38954/CLK,EmInst_1403/EmInst_3599/EmInst_33392/EmInst_38954/DATA,setup_rising,0.20071,0.148972
EmInst_1403/EmInst_3599/EmInst_33392/EmInst_38915/CLK,EmInst_1403/EmInst_3599/EmInst_33392/EmInst_38915/SIN,setup_rising,0.171848,0.121443
EmInst_1405/EmInst_3341/EmInst_35112/EmInst_47703/CLK,EmInst_1405/EmInst_3341/EmInst_35112/EmInst_47703/SMC,setup_rising,0.151895,0.206493
